node_loc,technology,year_vtg,year_act,time,value,unit
R12_AFR,coal_adv,2010,2010,year,0.85,%
R12_AFR,coal_adv,2010,2015,year,0.85,%
R12_AFR,coal_adv,2010,2020,year,0.6,%
R12_AFR,coal_adv,2010,2025,year,0.6625,%
R12_AFR,coal_adv,2010,2030,year,0.725,%
R12_AFR,coal_adv,2010,2035,year,0.7875,%
R12_AFR,coal_adv,2015,2015,year,0.85,%
R12_AFR,coal_adv,2015,2020,year,0.6,%
R12_AFR,coal_adv,2015,2025,year,0.6625,%
R12_AFR,coal_adv,2015,2030,year,0.725,%
R12_AFR,coal_adv,2015,2035,year,0.7875,%
R12_AFR,coal_adv,2015,2040,year,0.85,%
R12_AFR,coal_adv,2020,2020,year,0.6,%
R12_AFR,coal_adv,2020,2025,year,0.6625,%
R12_AFR,coal_adv,2020,2030,year,0.725,%
R12_AFR,coal_adv,2020,2035,year,0.7875,%
R12_AFR,coal_adv,2020,2040,year,0.85,%
R12_AFR,coal_adv,2020,2045,year,0.85,%
R12_AFR,coal_adv,2025,2025,year,0.6625,%
R12_AFR,coal_adv,2025,2030,year,0.725,%
R12_AFR,coal_adv,2025,2035,year,0.7875,%
R12_AFR,coal_adv,2025,2040,year,0.85,%
R12_AFR,coal_adv,2025,2045,year,0.85,%
R12_AFR,coal_adv,2025,2050,year,0.85,%
R12_AFR,coal_adv,2030,2030,year,0.725,%
R12_AFR,coal_adv,2030,2035,year,0.7875,%
R12_AFR,coal_adv,2030,2040,year,0.85,%
R12_AFR,coal_adv,2030,2045,year,0.85,%
R12_AFR,coal_adv,2030,2050,year,0.85,%
R12_AFR,coal_adv,2030,2055,year,0.85,%
R12_AFR,coal_adv,2035,2035,year,0.7875,%
R12_AFR,coal_adv,2035,2040,year,0.85,%
R12_AFR,coal_adv,2035,2045,year,0.85,%
R12_AFR,coal_adv,2035,2050,year,0.85,%
R12_AFR,coal_adv,2035,2055,year,0.85,%
R12_AFR,coal_adv,2035,2060,year,0.85,%
R12_AFR,coal_adv,2040,2040,year,0.85,%
R12_AFR,coal_adv,2040,2045,year,0.85,%
R12_AFR,coal_adv,2040,2050,year,0.85,%
R12_AFR,coal_adv,2040,2055,year,0.85,%
R12_AFR,coal_adv,2040,2060,year,0.85,%
R12_AFR,coal_adv,2040,2070,year,0.85,%
R12_AFR,coal_adv,2045,2045,year,0.85,%
R12_AFR,coal_adv,2045,2050,year,0.85,%
R12_AFR,coal_adv,2045,2055,year,0.85,%
R12_AFR,coal_adv,2045,2060,year,0.85,%
R12_AFR,coal_adv,2045,2070,year,0.85,%
R12_AFR,coal_adv,2050,2050,year,0.85,%
R12_AFR,coal_adv,2050,2055,year,0.85,%
R12_AFR,coal_adv,2050,2060,year,0.85,%
R12_AFR,coal_adv,2050,2070,year,0.85,%
R12_AFR,coal_adv,2050,2080,year,0.85,%
R12_AFR,coal_adv,2055,2055,year,0.85,%
R12_AFR,coal_adv,2055,2060,year,0.85,%
R12_AFR,coal_adv,2055,2070,year,0.85,%
R12_AFR,coal_adv,2055,2080,year,0.85,%
R12_AFR,coal_adv,2060,2060,year,0.85,%
R12_AFR,coal_adv,2060,2070,year,0.85,%
R12_AFR,coal_adv,2060,2080,year,0.85,%
R12_AFR,coal_adv,2060,2090,year,0.85,%
R12_AFR,coal_adv,2070,2070,year,0.85,%
R12_AFR,coal_adv,2070,2080,year,0.85,%
