node_loc,technology,year_vtg,value,unit
R12_SAS,coal_adv_cfbio,2025,-0.02,%
R12_SAS,coal_adv_cfbio,2030,-0.02,%
R12_SAS,coal_adv_cfbio,2035,-0.02,%
R12_SAS,coal_adv_cfbio,2040,-0.02,%
R12_SAS,coal_adv_cfbio,2045,-0.2,%
R12_SAS,coal_adv_cfbio,2050,-0.2,%
R12_SAS,coal_adv_cfbio,2055,-0.2,%
R12_SAS,coal_adv_cfbio,2060,-0.2,%
R12_SAS,coal_adv_cfbio,2070,-0.2,%
R12_SAS,coal_adv_cfbio,2080,-0.2,%
R12_SAS,coal_adv_cfbio,2090,-0.2,%
R12_SAS,coal_adv_cfbio,2100,-0.2,%
R12_SAS,coal_adv_cfbio,2110,-0.2,%
R12_SAS,coal_ppl_u_cfbio,2025,-0.02,%
R12_SAS,coal_ppl_u_cfbio,2030,-0.02,%
R12_SAS,coal_ppl_u_cfbio,2035,-0.02,%
R12_SAS,coal_ppl_u_cfbio,2040,-0.02,%
R12_SAS,coal_ppl_u_cfbio,2045,-0.2,%
R12_SAS,coal_ppl_u_cfbio,2050,-0.2,%
R12_SAS,coal_ppl_u_cfbio,2055,-0.2,%
R12_SAS,coal_ppl_u_cfbio,2060,-0.2,%
R12_SAS,coal_ppl_u_cfbio,2070,-0.2,%
R12_SAS,coal_ppl_u_cfbio,2080,-0.2,%
R12_SAS,coal_ppl_u_cfbio,2090,-0.2,%
R12_SAS,coal_ppl_u_cfbio,2100,-0.2,%
R12_SAS,coal_ppl_u_cfbio,2110,-0.2,%
R12_SAS,coal_ppl_cfbio,2025,-0.02,%
R12_SAS,coal_ppl_cfbio,2030,-0.02,%
R12_SAS,coal_ppl_cfbio,2035,-0.02,%
R12_SAS,coal_ppl_cfbio,2040,-0.02,%
R12_SAS,coal_ppl_cfbio,2045,-0.2,%
R12_SAS,coal_ppl_cfbio,2050,-0.2,%
R12_SAS,coal_ppl_cfbio,2055,-0.2,%
R12_SAS,coal_ppl_cfbio,2060,-0.2,%
R12_SAS,coal_ppl_cfbio,2070,-0.2,%
R12_SAS,coal_ppl_cfbio,2080,-0.2,%
R12_SAS,coal_ppl_cfbio,2090,-0.2,%
R12_SAS,coal_ppl_cfbio,2100,-0.2,%
R12_SAS,coal_ppl_cfbio,2110,-0.2,%
R12_PAS,coal_adv_cfbio,2025,-0.02,%
R12_PAS,coal_adv_cfbio,2030,-0.02,%
R12_PAS,coal_adv_cfbio,2035,-0.02,%
R12_PAS,coal_adv_cfbio,2040,-0.02,%
R12_PAS,coal_adv_cfbio,2045,-0.2,%
R12_PAS,coal_adv_cfbio,2050,-0.2,%
