node_loc,technology,year_vtg,value,unit
R12_AFR,coal_adv_cfbio,2030,0.1,GW
R12_AFR,coal_adv_cfbio,2035,0.1,GW
R12_CHN,coal_adv_cfbio,2030,1.1,GW
R12_CHN,coal_adv_cfbio,2035,1.1,GW
R12_EEU,coal_adv_cfbio,2030,0.7,GW
R12_EEU,coal_adv_cfbio,2035,0.7,GW
R12_FSU,coal_adv_cfbio,2030,0.1,GW
R12_FSU,coal_adv_cfbio,2035,0.1,GW
R12_LAM,coal_adv_cfbio,2030,0.1,GW
R12_LAM,coal_adv_cfbio,2035,0.1,GW
R12_MEA,coal_adv_cfbio,2030,0.1,GW
R12_MEA,coal_adv_cfbio,2035,0.1,GW
R12_NAM,coal_adv_cfbio,2030,0.1,GW
R12_NAM,coal_adv_cfbio,2035,0.1,GW
R12_PAO,coal_adv_cfbio,2030,0.3,GW
R12_PAO,coal_adv_cfbio,2035,0.3,GW
R12_PAS,coal_adv_cfbio,2030,0.06,GW
R12_PAS,coal_adv_cfbio,2035,0.06,GW
R12_RCPA,coal_adv_cfbio,2030,0.04,GW
R12_RCPA,coal_adv_cfbio,2035,0.04,GW
R12_SAS,coal_adv_cfbio,2030,0.12,GW
R12_SAS,coal_adv_cfbio,2035,0.12,GW
R12_AFR,coal_ppl_cfbio,2030,0.1,GW
R12_AFR,coal_ppl_cfbio,2035,0.1,GW
R12_CHN,coal_ppl_cfbio,2030,0.2,GW
R12_CHN,coal_ppl_cfbio,2035,0.2,GW
R12_EEU,coal_ppl_cfbio,2030,2,GW
R12_EEU,coal_ppl_cfbio,2035,2,GW
R12_FSU,coal_ppl_cfbio,2030,0.4,GW
R12_FSU,coal_ppl_cfbio,2035,0.4,GW
R12_LAM,coal_ppl_cfbio,2030,0.1,GW
R12_LAM,coal_ppl_cfbio,2035,0.1,GW
R12_MEA,coal_ppl_cfbio,2030,0.5,GW
R12_MEA,coal_ppl_cfbio,2035,0.5,GW
R12_NAM,coal_ppl_cfbio,2030,0.7,GW
R12_NAM,coal_ppl_cfbio,2035,0.7,GW
R12_PAO,coal_ppl_cfbio,2030,1.1,GW
R12_PAO,coal_ppl_cfbio,2035,1.1,GW
R12_PAS,coal_ppl_cfbio,2030,0.06,GW
R12_PAS,coal_ppl_cfbio,2035,0.06,GW
R12_RCPA,coal_ppl_cfbio,2030,0.04,GW
R12_RCPA,coal_ppl_cfbio,2035,0.04,GW
R12_SAS,coal_ppl_cfbio,2030,0.05,GW
R12_SAS,coal_ppl_cfbio,2035,0.05,GW
R12_CHN,coal_ppl_u_cfbio,2030,0.005,GW
R12_CHN,coal_ppl_u_cfbio,2035,0.005,GW
R12_PAS,coal_ppl_u_cfbio,2030,0.01,GW
R12_PAS,coal_ppl_u_cfbio,2035,0.01,GW
R12_RCPA,coal_ppl_u_cfbio,2030,0.01,GW
R12_RCPA,coal_ppl_u_cfbio,2035,0.01,GW
R12_SAS,coal_ppl_u_cfbio,2030,0.001,GW
R12_SAS,coal_ppl_u_cfbio,2035,0.001,GW
