node_loc,technology,year_vtg,value,unit
R12_AFR,coal_adv_cfbio,2020,4.5,USD/kW
R12_LAM,coal_adv_cfbio,2020,4.5,USD/kW
R12_MEA,coal_adv_cfbio,2020,4.5,USD/kW
R12_PAO,coal_adv_cfbio,2020,4.5,USD/kW
R12_PAS,coal_adv_cfbio,2020,4.5,USD/kW
R12_RCPA,coal_adv_cfbio,2020,4.5,USD/kW
R12_EEU,coal_adv_cfbio,2020,4.5,USD/kW
R12_NAM,coal_adv_cfbio,2020,4.5,USD/kW
R12_WEU,coal_adv_cfbio,2020,4.5,USD/kW
R12_FSU,coal_adv_cfbio,2020,4.5,USD/kW
R12_AFR,coal_ppl_u_cfbio,2020,4.5,USD/kW
R12_LAM,coal_ppl_u_cfbio,2020,4.5,USD/kW
R12_MEA,coal_ppl_u_cfbio,2020,4.5,USD/kW
R12_PAO,coal_ppl_u_cfbio,2020,4.5,USD/kW
R12_PAS,coal_ppl_u_cfbio,2020,4.5,USD/kW
R12_RCPA,coal_ppl_u_cfbio,2020,4.5,USD/kW
R12_EEU,coal_ppl_u_cfbio,2020,4.5,USD/kW
R12_NAM,coal_ppl_u_cfbio,2020,4.5,USD/kW
R12_WEU,coal_ppl_u_cfbio,2020,4.5,USD/kW
R12_FSU,coal_ppl_u_cfbio,2020,4.5,USD/kW
R12_AFR,coal_ppl_cfbio,2020,4.5,USD/kW
R12_LAM,coal_ppl_cfbio,2020,4.5,USD/kW
R12_MEA,coal_ppl_cfbio,2020,4.5,USD/kW
R12_PAO,coal_ppl_cfbio,2020,4.5,USD/kW
R12_PAS,coal_ppl_cfbio,2020,4.5,USD/kW
R12_RCPA,coal_ppl_cfbio,2020,4.5,USD/kW
R12_EEU,coal_ppl_cfbio,2020,4.5,USD/kW
R12_NAM,coal_ppl_cfbio,2020,4.5,USD/kW
R12_WEU,coal_ppl_cfbio,2020,4.5,USD/kW
R12_FSU,coal_ppl_cfbio,2020,4.5,USD/kW
R12_AFR,coal_adv_cfbio,2025,4.5,USD/kW
R12_LAM,coal_adv_cfbio,2025,4.5,USD/kW
R12_MEA,coal_adv_cfbio,2025,4.5,USD/kW
R12_NAM,coal_adv_cfbio,2025,4.5,USD/kW
R12_PAO,coal_adv_cfbio,2025,4.5,USD/kW
R12_PAS,coal_adv_cfbio,2025,4.5,USD/kW
R12_WEU,coal_adv_cfbio,2025,4.5,USD/kW
R12_RCPA,coal_adv_cfbio,2025,4.5,USD/kW
R12_EEU,coal_adv_cfbio,2025,4.5,USD/kW
R12_FSU,coal_adv_cfbio,2025,4.5,USD/kW
R12_AFR,coal_ppl_u_cfbio,2025,4.5,USD/kW
R12_LAM,coal_ppl_u_cfbio,2025,4.5,USD/kW
R12_MEA,coal_ppl_u_cfbio,2025,4.5,USD/kW
R12_NAM,coal_ppl_u_cfbio,2025,4.5,USD/kW
R12_PAO,coal_ppl_u_cfbio,2025,4.5,USD/kW
R12_PAS,coal_ppl_u_cfbio,2025,4.5,USD/kW
R12_WEU,coal_ppl_u_cfbio,2025,4.5,USD/kW
R12_RCPA,coal_ppl_u_cfbio,2025,4.5,USD/kW
R12_EEU,coal_ppl_u_cfbio,2025,4.5,USD/kW
R12_FSU,coal_ppl_u_cfbio,2025,4.5,USD/kW
R12_AFR,coal_ppl_cfbio,2025,4.5,USD/kW
R12_LAM,coal_ppl_cfbio,2025,4.5,USD/kW
R12_MEA,coal_ppl_cfbio,2025,4.5,USD/kW
R12_NAM,coal_ppl_cfbio,2025,4.5,USD/kW
R12_PAO,coal_ppl_cfbio,2025,4.5,USD/kW
R12_PAS,coal_ppl_cfbio,2025,4.5,USD/kW
R12_WEU,coal_ppl_cfbio,2025,4.5,USD/kW
R12_RCPA,coal_ppl_cfbio,2025,4.5,USD/kW
R12_EEU,coal_ppl_cfbio,2025,4.5,USD/kW
R12_FSU,coal_ppl_cfbio,2025,4.5,USD/kW
R12_AFR,coal_adv_cfbio,2030,4.5,USD/kW
R12_LAM,coal_adv_cfbio,2030,4.5,USD/kW
R12_MEA,coal_adv_cfbio,2030,4.5,USD/kW
R12_NAM,coal_adv_cfbio,2030,4.5,USD/kW
R12_PAO,coal_adv_cfbio,2030,4.5,USD/kW
R12_PAS,coal_adv_cfbio,2030,4.5,USD/kW
R12_WEU,coal_adv_cfbio,2030,4.5,USD/kW
R12_RCPA,coal_adv_cfbio,2030,4.5,USD/kW
R12_EEU,coal_adv_cfbio,2030,4.5,USD/kW
R12_FSU,coal_adv_cfbio,2030,4.5,USD/kW
R12_AFR,coal_ppl_u_cfbio,2030,4.5,USD/kW
R12_LAM,coal_ppl_u_cfbio,2030,4.5,USD/kW
R12_MEA,coal_ppl_u_cfbio,2030,4.5,USD/kW
R12_NAM,coal_ppl_u_cfbio,2030,4.5,USD/kW
R12_PAO,coal_ppl_u_cfbio,2030,4.5,USD/kW
R12_PAS,coal_ppl_u_cfbio,2030,4.5,USD/kW
R12_WEU,coal_ppl_u_cfbio,2030,4.5,USD/kW
R12_RCPA,coal_ppl_u_cfbio,2030,4.5,USD/kW
R12_EEU,coal_ppl_u_cfbio,2030,4.5,USD/kW
R12_FSU,coal_ppl_u_cfbio,2030,4.5,USD/kW
R12_AFR,coal_ppl_cfbio,2030,4.5,USD/kW
R12_LAM,coal_ppl_cfbio,2030,4.5,USD/kW
R12_MEA,coal_ppl_cfbio,2030,4.5,USD/kW
R12_NAM,coal_ppl_cfbio,2030,4.5,USD/kW
R12_PAO,coal_ppl_cfbio,2030,4.5,USD/kW
R12_PAS,coal_ppl_cfbio,2030,4.5,USD/kW
R12_WEU,coal_ppl_cfbio,2030,4.5,USD/kW
R12_RCPA,coal_ppl_cfbio,2030,4.5,USD/kW
R12_EEU,coal_ppl_cfbio,2030,4.5,USD/kW
R12_FSU,coal_ppl_cfbio,2030,4.5,USD/kW
R12_AFR,coal_adv_cfbio,2035,4.5,USD/kW
R12_LAM,coal_adv_cfbio,2035,4.5,USD/kW
R12_MEA,coal_adv_cfbio,2035,4.5,USD/kW
R12_NAM,coal_adv_cfbio,2035,4.5,USD/kW
R12_PAO,coal_adv_cfbio,2035,4.5,USD/kW
R12_PAS,coal_adv_cfbio,2035,4.5,USD/kW
R12_WEU,coal_adv_cfbio,2035,4.5,USD/kW
R12_RCPA,coal_adv_cfbio,2035,4.5,USD/kW
R12_EEU,coal_adv_cfbio,2035,4.5,USD/kW
R12_FSU,coal_adv_cfbio,2035,4.5,USD/kW
R12_AFR,coal_ppl_u_cfbio,2035,4.5,USD/kW
R12_LAM,coal_ppl_u_cfbio,2035,4.5,USD/kW
R12_MEA,coal_ppl_u_cfbio,2035,4.5,USD/kW
R12_NAM,coal_ppl_u_cfbio,2035,4.5,USD/kW
R12_PAO,coal_ppl_u_cfbio,2035,4.5,USD/kW
R12_PAS,coal_ppl_u_cfbio,2035,4.5,USD/kW
R12_WEU,coal_ppl_u_cfbio,2035,4.5,USD/kW
R12_RCPA,coal_ppl_u_cfbio,2035,4.5,USD/kW
R12_EEU,coal_ppl_u_cfbio,2035,4.5,USD/kW
R12_FSU,coal_ppl_u_cfbio,2035,4.5,USD/kW
R12_AFR,coal_ppl_cfbio,2035,4.5,USD/kW
R12_LAM,coal_ppl_cfbio,2035,4.5,USD/kW
R12_MEA,coal_ppl_cfbio,2035,4.5,USD/kW
R12_NAM,coal_ppl_cfbio,2035,4.5,USD/kW
R12_PAO,coal_ppl_cfbio,2035,4.5,USD/kW
R12_PAS,coal_ppl_cfbio,2035,4.5,USD/kW
R12_WEU,coal_ppl_cfbio,2035,4.5,USD/kW
R12_RCPA,coal_ppl_cfbio,2035,4.5,USD/kW
R12_EEU,coal_ppl_cfbio,2035,4.5,USD/kW
R12_FSU,coal_ppl_cfbio,2035,4.5,USD/kW
R12_AFR,coal_adv_cfbio,2040,4.5,USD/kW
R12_LAM,coal_adv_cfbio,2040,4.5,USD/kW
R12_MEA,coal_adv_cfbio,2040,4.5,USD/kW
R12_NAM,coal_adv_cfbio,2040,4.5,USD/kW
R12_PAO,coal_adv_cfbio,2040,4.5,USD/kW
R12_PAS,coal_adv_cfbio,2040,4.5,USD/kW
R12_WEU,coal_adv_cfbio,2040,4.5,USD/kW
R12_RCPA,coal_adv_cfbio,2040,4.5,USD/kW
R12_EEU,coal_adv_cfbio,2040,4.5,USD/kW
R12_FSU,coal_adv_cfbio,2040,4.5,USD/kW
R12_AFR,coal_ppl_u_cfbio,2040,4.5,USD/kW
R12_LAM,coal_ppl_u_cfbio,2040,4.5,USD/kW
R12_MEA,coal_ppl_u_cfbio,2040,4.5,USD/kW
R12_NAM,coal_ppl_u_cfbio,2040,4.5,USD/kW
R12_PAO,coal_ppl_u_cfbio,2040,4.5,USD/kW
R12_PAS,coal_ppl_u_cfbio,2040,4.5,USD/kW
R12_WEU,coal_ppl_u_cfbio,2040,4.5,USD/kW
R12_RCPA,coal_ppl_u_cfbio,2040,4.5,USD/kW
R12_EEU,coal_ppl_u_cfbio,2040,4.5,USD/kW
R12_FSU,coal_ppl_u_cfbio,2040,4.5,USD/kW
R12_AFR,coal_ppl_cfbio,2040,4.5,USD/kW
R12_LAM,coal_ppl_cfbio,2040,4.5,USD/kW
R12_MEA,coal_ppl_cfbio,2040,4.5,USD/kW
R12_NAM,coal_ppl_cfbio,2040,4.5,USD/kW
R12_PAO,coal_ppl_cfbio,2040,4.5,USD/kW
R12_PAS,coal_ppl_cfbio,2040,4.5,USD/kW
R12_WEU,coal_ppl_cfbio,2040,4.5,USD/kW
R12_RCPA,coal_ppl_cfbio,2040,4.5,USD/kW
R12_EEU,coal_ppl_cfbio,2040,4.5,USD/kW
R12_FSU,coal_ppl_cfbio,2040,4.5,USD/kW
R12_AFR,coal_adv_cfbio,2045,4.5,USD/kW
R12_LAM,coal_adv_cfbio,2045,4.5,USD/kW
R12_MEA,coal_adv_cfbio,2045,4.5,USD/kW
R12_NAM,coal_adv_cfbio,2045,4.5,USD/kW
R12_PAO,coal_adv_cfbio,2045,4.5,USD/kW
R12_PAS,coal_adv_cfbio,2045,4.5,USD/kW
R12_WEU,coal_adv_cfbio,2045,4.5,USD/kW
R12_RCPA,coal_adv_cfbio,2045,4.5,USD/kW
R12_EEU,coal_adv_cfbio,2045,4.5,USD/kW
R12_FSU,coal_adv_cfbio,2045,4.5,USD/kW
R12_AFR,coal_ppl_u_cfbio,2045,4.5,USD/kW
R12_LAM,coal_ppl_u_cfbio,2045,4.5,USD/kW
R12_MEA,coal_ppl_u_cfbio,2045,4.5,USD/kW
R12_NAM,coal_ppl_u_cfbio,2045,4.5,USD/kW
R12_PAO,coal_ppl_u_cfbio,2045,4.5,USD/kW
R12_PAS,coal_ppl_u_cfbio,2045,4.5,USD/kW
R12_WEU,coal_ppl_u_cfbio,2045,4.5,USD/kW
R12_RCPA,coal_ppl_u_cfbio,2045,4.5,USD/kW
R12_EEU,coal_ppl_u_cfbio,2045,4.5,USD/kW
R12_FSU,coal_ppl_u_cfbio,2045,4.5,USD/kW
R12_AFR,coal_ppl_cfbio,2045,4.5,USD/kW
R12_LAM,coal_ppl_cfbio,2045,4.5,USD/kW
R12_MEA,coal_ppl_cfbio,2045,4.5,USD/kW
R12_NAM,coal_ppl_cfbio,2045,4.5,USD/kW
R12_PAO,coal_ppl_cfbio,2045,4.5,USD/kW
R12_PAS,coal_ppl_cfbio,2045,4.5,USD/kW
R12_WEU,coal_ppl_cfbio,2045,4.5,USD/kW
R12_RCPA,coal_ppl_cfbio,2045,4.5,USD/kW
R12_EEU,coal_ppl_cfbio,2045,4.5,USD/kW
R12_FSU,coal_ppl_cfbio,2045,4.5,USD/kW
R12_AFR,coal_adv_cfbio,2050,4.5,USD/kW
R12_LAM,coal_adv_cfbio,2050,4.5,USD/kW
R12_MEA,coal_adv_cfbio,2050,4.5,USD/kW
R12_NAM,coal_adv_cfbio,2050,4.5,USD/kW
R12_PAO,coal_adv_cfbio,2050,4.5,USD/kW
R12_PAS,coal_adv_cfbio,2050,4.5,USD/kW
R12_WEU,coal_adv_cfbio,2050,4.5,USD/kW
R12_RCPA,coal_adv_cfbio,2050,4.5,USD/kW
R12_EEU,coal_adv_cfbio,2050,4.5,USD/kW
R12_FSU,coal_adv_cfbio,2050,4.5,USD/kW
R12_AFR,coal_ppl_u_cfbio,2050,4.5,USD/kW
R12_LAM,coal_ppl_u_cfbio,2050,4.5,USD/kW
R12_MEA,coal_ppl_u_cfbio,2050,4.5,USD/kW
R12_NAM,coal_ppl_u_cfbio,2050,4.5,USD/kW
R12_PAO,coal_ppl_u_cfbio,2050,4.5,USD/kW
R12_PAS,coal_ppl_u_cfbio,2050,4.5,USD/kW
R12_WEU,coal_ppl_u_cfbio,2050,4.5,USD/kW
R12_RCPA,coal_ppl_u_cfbio,2050,4.5,USD/kW
