node,technology,year_act,mode,time,type_addon,value,unit
R12_AFR,coal_adv,2010,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2015,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2020,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2025,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2030,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2035,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2040,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2045,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2050,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2055,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2060,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2070,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2080,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2090,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2100,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_adv,2110,M2,year,coal_adv_cfNH3_addon,0,-
R12_AFR,coal_ppl,1995,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2000,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2005,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2010,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2015,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2020,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2025,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2030,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2035,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2040,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2045,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2050,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2055,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2060,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2070,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2080,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2090,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2100,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl,2110,M2,year,coal_ppl_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,1960,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,1965,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,1970,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,1975,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,1980,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,1985,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,1990,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,1995,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2000,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2005,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2010,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2015,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2020,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2025,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2030,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2035,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2040,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2045,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_AFR,coal_ppl_u,2050,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_adv,1985,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,1990,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,1995,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2000,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2005,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2010,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2015,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2020,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2025,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2030,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2035,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2040,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2045,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2050,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2055,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2060,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2070,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2080,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2090,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2100,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_adv,2110,M2,year,coal_adv_cfNH3_addon,0,-
R12_EEU,coal_ppl,1960,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,1965,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,1970,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,1975,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,1980,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,1985,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,1990,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,1995,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2000,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2005,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2010,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2015,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2020,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2025,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2030,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2035,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2040,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2045,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2050,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2055,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2060,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2070,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2080,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2090,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2100,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl,2110,M2,year,coal_ppl_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,1960,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,1965,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,1970,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,1975,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,1980,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,1985,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,1990,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,1995,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2000,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2005,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2010,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2015,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2020,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2025,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2030,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2035,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2040,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2045,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_EEU,coal_ppl_u,2050,M2,year,coal_ppl_u_cfNH3_addon,0,-
R12_LAM,coal_adv,2010,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2015,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2020,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2025,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2030,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2035,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2040,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2045,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2050,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2055,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2060,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2070,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2080,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2090,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2100,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_adv,2110,M2,year,coal_adv_cfNH3_addon,0,-
R12_LAM,coal_ppl,1965,M2,year,coal_ppl_cfNH3_addon,0,-
R12_LAM,coal_ppl,1970,M2,year,coal_ppl_cfNH3_addon,0,-
