node_loc,technology,year_vtg,value,unit
R12_CHN,coal_adv_cfNH3,2025,0.02,%
R12_CHN,coal_adv_cfNH3,2030,0.02,%
R12_CHN,coal_adv_cfNH3,2035,0.02,%
R12_CHN,coal_adv_cfNH3,2040,0.02,%
R12_CHN,coal_adv_cfNH3,2045,0.02,%
R12_CHN,coal_adv_cfNH3,2050,0.02,%
R12_CHN,coal_adv_cfNH3,2055,0.02,%
R12_CHN,coal_adv_cfNH3,2060,0.02,%
R12_CHN,coal_adv_cfNH3,2070,0.02,%
R12_CHN,coal_adv_cfNH3,2080,0.02,%
R12_CHN,coal_adv_cfNH3,2090,0.02,%
R12_CHN,coal_adv_cfNH3,2100,0.02,%
R12_CHN,coal_adv_cfNH3,2110,0.02,%
R12_PAS,coal_adv_cfNH3,2025,0.02,%
R12_PAS,coal_adv_cfNH3,2030,0.02,%
R12_PAS,coal_adv_cfNH3,2035,0.02,%
R12_PAS,coal_adv_cfNH3,2040,0.02,%
R12_PAS,coal_adv_cfNH3,2045,0.02,%
R12_PAS,coal_adv_cfNH3,2050,0.02,%
R12_PAS,coal_adv_cfNH3,2055,0.02,%
R12_PAS,coal_adv_cfNH3,2060,0.02,%
R12_PAS,coal_adv_cfNH3,2070,0.02,%
R12_PAS,coal_adv_cfNH3,2080,0.02,%
R12_PAS,coal_adv_cfNH3,2090,0.02,%
R12_PAS,coal_adv_cfNH3,2100,0.02,%
R12_PAS,coal_adv_cfNH3,2110,0.02,%
R12_RCPA,coal_adv_cfNH3,2025,0.02,%
R12_RCPA,coal_adv_cfNH3,2030,0.02,%
R12_RCPA,coal_adv_cfNH3,2035,0.02,%
R12_RCPA,coal_adv_cfNH3,2040,0.02,%
R12_RCPA,coal_adv_cfNH3,2045,0.02,%
R12_RCPA,coal_adv_cfNH3,2050,0.02,%
R12_RCPA,coal_adv_cfNH3,2055,0.02,%
R12_RCPA,coal_adv_cfNH3,2060,0.02,%
R12_RCPA,coal_adv_cfNH3,2070,0.02,%
R12_RCPA,coal_adv_cfNH3,2080,0.02,%
R12_RCPA,coal_adv_cfNH3,2090,0.02,%
R12_RCPA,coal_adv_cfNH3,2100,0.02,%
R12_RCPA,coal_adv_cfNH3,2110,0.02,%
R12_SAS,coal_adv_cfNH3,2025,0.02,%
R12_SAS,coal_adv_cfNH3,2030,0.02,%
R12_SAS,coal_adv_cfNH3,2035,0.02,%
R12_SAS,coal_adv_cfNH3,2040,0.02,%
R12_SAS,coal_adv_cfNH3,2045,0.02,%
R12_SAS,coal_adv_cfNH3,2050,0.02,%
R12_SAS,coal_adv_cfNH3,2055,0.02,%
R12_SAS,coal_adv_cfNH3,2060,0.02,%
R12_SAS,coal_adv_cfNH3,2070,0.02,%
R12_SAS,coal_adv_cfNH3,2080,0.02,%
R12_SAS,coal_adv_cfNH3,2090,0.02,%
R12_SAS,coal_adv_cfNH3,2100,0.02,%
R12_SAS,coal_adv_cfNH3,2110,0.02,%
R12_CHN,coal_ppl_cfNH3,2025,0.02,%
R12_CHN,coal_ppl_cfNH3,2030,0.02,%
R12_CHN,coal_ppl_cfNH3,2035,0.02,%
R12_CHN,coal_ppl_cfNH3,2040,0.02,%
R12_CHN,coal_ppl_cfNH3,2045,0.02,%
R12_CHN,coal_ppl_cfNH3,2050,0.02,%
R12_CHN,coal_ppl_cfNH3,2055,0.02,%
R12_CHN,coal_ppl_cfNH3,2060,0.02,%
R12_CHN,coal_ppl_cfNH3,2070,0.02,%
R12_CHN,coal_ppl_cfNH3,2080,0.02,%
R12_CHN,coal_ppl_cfNH3,2090,0.02,%
R12_CHN,coal_ppl_cfNH3,2100,0.02,%
R12_CHN,coal_ppl_cfNH3,2110,0.02,%
R12_PAS,coal_ppl_cfNH3,2025,0.02,%
R12_PAS,coal_ppl_cfNH3,2030,0.02,%
R12_PAS,coal_ppl_cfNH3,2035,0.02,%
R12_PAS,coal_ppl_cfNH3,2040,0.02,%
R12_PAS,coal_ppl_cfNH3,2045,0.02,%
R12_PAS,coal_ppl_cfNH3,2050,0.02,%
R12_PAS,coal_ppl_cfNH3,2055,0.02,%
R12_PAS,coal_ppl_cfNH3,2060,0.02,%
R12_PAS,coal_ppl_cfNH3,2070,0.02,%
R12_PAS,coal_ppl_cfNH3,2080,0.02,%
R12_PAS,coal_ppl_cfNH3,2090,0.02,%
R12_PAS,coal_ppl_cfNH3,2100,0.02,%
R12_PAS,coal_ppl_cfNH3,2110,0.02,%
R12_RCPA,coal_ppl_cfNH3,2025,0.02,%
R12_RCPA,coal_ppl_cfNH3,2030,0.02,%
R12_RCPA,coal_ppl_cfNH3,2035,0.02,%
R12_RCPA,coal_ppl_cfNH3,2040,0.02,%
R12_RCPA,coal_ppl_cfNH3,2045,0.02,%
R12_RCPA,coal_ppl_cfNH3,2050,0.02,%
R12_RCPA,coal_ppl_cfNH3,2055,0.02,%
R12_RCPA,coal_ppl_cfNH3,2060,0.02,%
R12_RCPA,coal_ppl_cfNH3,2070,0.02,%
R12_RCPA,coal_ppl_cfNH3,2080,0.02,%
R12_RCPA,coal_ppl_cfNH3,2090,0.02,%
R12_RCPA,coal_ppl_cfNH3,2100,0.02,%
R12_RCPA,coal_ppl_cfNH3,2110,0.02,%
R12_SAS,coal_ppl_cfNH3,2025,0.02,%
R12_SAS,coal_ppl_cfNH3,2030,0.02,%
R12_SAS,coal_ppl_cfNH3,2035,0.02,%
R12_SAS,coal_ppl_cfNH3,2040,0.02,%
R12_SAS,coal_ppl_cfNH3,2045,0.02,%
R12_SAS,coal_ppl_cfNH3,2050,0.02,%
R12_SAS,coal_ppl_cfNH3,2055,0.02,%
R12_SAS,coal_ppl_cfNH3,2060,0.02,%
R12_SAS,coal_ppl_cfNH3,2070,0.02,%
R12_SAS,coal_ppl_cfNH3,2080,0.02,%
R12_SAS,coal_ppl_cfNH3,2090,0.02,%
R12_SAS,coal_ppl_cfNH3,2100,0.02,%
R12_SAS,coal_ppl_cfNH3,2110,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2025,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2030,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2035,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2040,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2045,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2050,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2055,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2060,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2070,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2080,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2090,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2100,0.02,%
R12_CHN,coal_ppl_u_cfNH3,2110,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2025,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2030,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2035,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2040,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2045,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2050,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2055,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2060,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2070,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2080,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2090,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2100,0.02,%
R12_PAS,coal_ppl_u_cfNH3,2110,0.02,%
R12_RCPA,coal_ppl_u_cfNH3,2025,0.02,%
R12_RCPA,coal_ppl_u_cfNH3,2030,0.02,%
R12_RCPA,coal_ppl_u_cfNH3,2035,0.02,%
R12_RCPA,coal_ppl_u_cfNH3,2040,0.02,%
R12_RCPA,coal_ppl_u_cfNH3,2045,0.02,%
