node_loc,technology,year_vtg,value,unit
R12_AFR,coal_adv_cfNH3,2020,213.9595564,USD/kW
R12_LAM,coal_adv_cfNH3,2020,213.9595564,USD/kW
R12_MEA,coal_adv_cfNH3,2020,213.9595564,USD/kW
R12_PAO,coal_adv_cfNH3,2020,213.9595564,USD/kW
R12_EEU,coal_adv_cfNH3,2020,213.9595564,USD/kW
R12_NAM,coal_adv_cfNH3,2020,213.9595564,USD/kW
R12_WEU,coal_adv_cfNH3,2020,213.9595564,USD/kW
R12_FSU,coal_adv_cfNH3,2020,213.9595564,USD/kW
R12_AFR,coal_ppl_u_cfNH3,2020,213.9595564,USD/kW
R12_LAM,coal_ppl_u_cfNH3,2020,213.9595564,USD/kW
R12_MEA,coal_ppl_u_cfNH3,2020,213.9595564,USD/kW
R12_PAO,coal_ppl_u_cfNH3,2020,213.9595564,USD/kW
R12_EEU,coal_ppl_u_cfNH3,2020,213.9595564,USD/kW
R12_NAM,coal_ppl_u_cfNH3,2020,213.9595564,USD/kW
R12_WEU,coal_ppl_u_cfNH3,2020,213.9595564,USD/kW
R12_FSU,coal_ppl_u_cfNH3,2020,213.9595564,USD/kW
R12_AFR,coal_ppl_cfNH3,2020,213.9595564,USD/kW
R12_LAM,coal_ppl_cfNH3,2020,213.9595564,USD/kW
R12_MEA,coal_ppl_cfNH3,2020,213.9595564,USD/kW
R12_PAO,coal_ppl_cfNH3,2020,213.9595564,USD/kW
R12_EEU,coal_ppl_cfNH3,2020,213.9595564,USD/kW
R12_NAM,coal_ppl_cfNH3,2020,213.9595564,USD/kW
R12_WEU,coal_ppl_cfNH3,2020,213.9595564,USD/kW
R12_FSU,coal_ppl_cfNH3,2020,213.9595564,USD/kW
R12_AFR,coal_adv_cfNH3,2025,213.9595564,USD/kW
R12_LAM,coal_adv_cfNH3,2025,213.9595564,USD/kW
R12_MEA,coal_adv_cfNH3,2025,213.9595564,USD/kW
R12_NAM,coal_adv_cfNH3,2025,213.9595564,USD/kW
R12_PAO,coal_adv_cfNH3,2025,213.9595564,USD/kW
R12_WEU,coal_adv_cfNH3,2025,213.9595564,USD/kW
R12_EEU,coal_adv_cfNH3,2025,213.9595564,USD/kW
R12_FSU,coal_adv_cfNH3,2025,213.9595564,USD/kW
R12_AFR,coal_ppl_u_cfNH3,2025,213.9595564,USD/kW
R12_LAM,coal_ppl_u_cfNH3,2025,213.9595564,USD/kW
R12_MEA,coal_ppl_u_cfNH3,2025,213.9595564,USD/kW
R12_NAM,coal_ppl_u_cfNH3,2025,213.9595564,USD/kW
R12_PAO,coal_ppl_u_cfNH3,2025,213.9595564,USD/kW
R12_WEU,coal_ppl_u_cfNH3,2025,213.9595564,USD/kW
R12_EEU,coal_ppl_u_cfNH3,2025,213.9595564,USD/kW
R12_FSU,coal_ppl_u_cfNH3,2025,213.9595564,USD/kW
R12_AFR,coal_ppl_cfNH3,2025,213.9595564,USD/kW
R12_LAM,coal_ppl_cfNH3,2025,213.9595564,USD/kW
R12_MEA,coal_ppl_cfNH3,2025,213.9595564,USD/kW
R12_NAM,coal_ppl_cfNH3,2025,213.9595564,USD/kW
R12_PAO,coal_ppl_cfNH3,2025,213.9595564,USD/kW
R12_WEU,coal_ppl_cfNH3,2025,213.9595564,USD/kW
R12_EEU,coal_ppl_cfNH3,2025,213.9595564,USD/kW
R12_FSU,coal_ppl_cfNH3,2025,213.9595564,USD/kW
R12_AFR,coal_adv_cfNH3,2030,213.9595564,USD/kW
R12_LAM,coal_adv_cfNH3,2030,213.9595564,USD/kW
R12_MEA,coal_adv_cfNH3,2030,213.9595564,USD/kW
R12_NAM,coal_adv_cfNH3,2030,213.9595564,USD/kW
R12_PAO,coal_adv_cfNH3,2030,213.9595564,USD/kW
R12_WEU,coal_adv_cfNH3,2030,213.9595564,USD/kW
R12_EEU,coal_adv_cfNH3,2030,213.9595564,USD/kW
R12_FSU,coal_adv_cfNH3,2030,213.9595564,USD/kW
R12_AFR,coal_ppl_u_cfNH3,2030,213.9595564,USD/kW
R12_LAM,coal_ppl_u_cfNH3,2030,213.9595564,USD/kW
R12_MEA,coal_ppl_u_cfNH3,2030,213.9595564,USD/kW
R12_NAM,coal_ppl_u_cfNH3,2030,213.9595564,USD/kW
R12_PAO,coal_ppl_u_cfNH3,2030,213.9595564,USD/kW
R12_WEU,coal_ppl_u_cfNH3,2030,213.9595564,USD/kW
R12_EEU,coal_ppl_u_cfNH3,2030,213.9595564,USD/kW
R12_FSU,coal_ppl_u_cfNH3,2030,213.9595564,USD/kW
R12_AFR,coal_ppl_cfNH3,2030,213.9595564,USD/kW
R12_LAM,coal_ppl_cfNH3,2030,213.9595564,USD/kW
R12_MEA,coal_ppl_cfNH3,2030,213.9595564,USD/kW
R12_NAM,coal_ppl_cfNH3,2030,213.9595564,USD/kW
R12_PAO,coal_ppl_cfNH3,2030,213.9595564,USD/kW
R12_WEU,coal_ppl_cfNH3,2030,213.9595564,USD/kW
R12_EEU,coal_ppl_cfNH3,2030,213.9595564,USD/kW
R12_FSU,coal_ppl_cfNH3,2030,213.9595564,USD/kW
R12_AFR,coal_adv_cfNH3,2035,213.9595564,USD/kW
R12_LAM,coal_adv_cfNH3,2035,213.9595564,USD/kW
R12_MEA,coal_adv_cfNH3,2035,213.9595564,USD/kW
R12_NAM,coal_adv_cfNH3,2035,213.9595564,USD/kW
R12_PAO,coal_adv_cfNH3,2035,213.9595564,USD/kW
R12_WEU,coal_adv_cfNH3,2035,213.9595564,USD/kW
R12_EEU,coal_adv_cfNH3,2035,213.9595564,USD/kW
R12_FSU,coal_adv_cfNH3,2035,213.9595564,USD/kW
R12_AFR,coal_ppl_u_cfNH3,2035,213.9595564,USD/kW
R12_LAM,coal_ppl_u_cfNH3,2035,213.9595564,USD/kW
R12_MEA,coal_ppl_u_cfNH3,2035,213.9595564,USD/kW
R12_NAM,coal_ppl_u_cfNH3,2035,213.9595564,USD/kW
R12_PAO,coal_ppl_u_cfNH3,2035,213.9595564,USD/kW
R12_WEU,coal_ppl_u_cfNH3,2035,213.9595564,USD/kW
R12_EEU,coal_ppl_u_cfNH3,2035,213.9595564,USD/kW
R12_FSU,coal_ppl_u_cfNH3,2035,213.9595564,USD/kW
R12_AFR,coal_ppl_cfNH3,2035,213.9595564,USD/kW
R12_LAM,coal_ppl_cfNH3,2035,213.9595564,USD/kW
R12_MEA,coal_ppl_cfNH3,2035,213.9595564,USD/kW
R12_NAM,coal_ppl_cfNH3,2035,213.9595564,USD/kW
R12_PAO,coal_ppl_cfNH3,2035,213.9595564,USD/kW
R12_WEU,coal_ppl_cfNH3,2035,213.9595564,USD/kW
R12_EEU,coal_ppl_cfNH3,2035,213.9595564,USD/kW
R12_FSU,coal_ppl_cfNH3,2035,213.9595564,USD/kW
R12_AFR,coal_adv_cfNH3,2040,213.9595564,USD/kW
R12_LAM,coal_adv_cfNH3,2040,213.9595564,USD/kW
R12_MEA,coal_adv_cfNH3,2040,213.9595564,USD/kW
R12_NAM,coal_adv_cfNH3,2040,213.9595564,USD/kW
R12_PAO,coal_adv_cfNH3,2040,213.9595564,USD/kW
R12_WEU,coal_adv_cfNH3,2040,213.9595564,USD/kW
R12_EEU,coal_adv_cfNH3,2040,213.9595564,USD/kW
R12_FSU,coal_adv_cfNH3,2040,213.9595564,USD/kW
R12_AFR,coal_ppl_u_cfNH3,2040,213.9595564,USD/kW
R12_LAM,coal_ppl_u_cfNH3,2040,213.9595564,USD/kW
R12_MEA,coal_ppl_u_cfNH3,2040,213.9595564,USD/kW
R12_NAM,coal_ppl_u_cfNH3,2040,213.9595564,USD/kW
R12_PAO,coal_ppl_u_cfNH3,2040,213.9595564,USD/kW
R12_WEU,coal_ppl_u_cfNH3,2040,213.9595564,USD/kW
R12_EEU,coal_ppl_u_cfNH3,2040,213.9595564,USD/kW
R12_FSU,coal_ppl_u_cfNH3,2040,213.9595564,USD/kW
R12_AFR,coal_ppl_cfNH3,2040,213.9595564,USD/kW
R12_LAM,coal_ppl_cfNH3,2040,213.9595564,USD/kW
R12_MEA,coal_ppl_cfNH3,2040,213.9595564,USD/kW
R12_NAM,coal_ppl_cfNH3,2040,213.9595564,USD/kW
R12_PAO,coal_ppl_cfNH3,2040,213.9595564,USD/kW
R12_WEU,coal_ppl_cfNH3,2040,213.9595564,USD/kW
R12_EEU,coal_ppl_cfNH3,2040,213.9595564,USD/kW
R12_FSU,coal_ppl_cfNH3,2040,213.9595564,USD/kW
R12_AFR,coal_adv_cfNH3,2045,213.9595564,USD/kW
R12_LAM,coal_adv_cfNH3,2045,213.9595564,USD/kW
R12_MEA,coal_adv_cfNH3,2045,213.9595564,USD/kW
R12_NAM,coal_adv_cfNH3,2045,213.9595564,USD/kW
R12_PAO,coal_adv_cfNH3,2045,213.9595564,USD/kW
R12_WEU,coal_adv_cfNH3,2045,213.9595564,USD/kW
R12_EEU,coal_adv_cfNH3,2045,213.9595564,USD/kW
R12_FSU,coal_adv_cfNH3,2045,213.9595564,USD/kW
R12_AFR,coal_ppl_u_cfNH3,2045,213.9595564,USD/kW
R12_LAM,coal_ppl_u_cfNH3,2045,213.9595564,USD/kW
R12_MEA,coal_ppl_u_cfNH3,2045,213.9595564,USD/kW
R12_NAM,coal_ppl_u_cfNH3,2045,213.9595564,USD/kW
R12_PAO,coal_ppl_u_cfNH3,2045,213.9595564,USD/kW
R12_WEU,coal_ppl_u_cfNH3,2045,213.9595564,USD/kW
R12_EEU,coal_ppl_u_cfNH3,2045,213.9595564,USD/kW
R12_FSU,coal_ppl_u_cfNH3,2045,213.9595564,USD/kW
R12_AFR,coal_ppl_cfNH3,2045,213.9595564,USD/kW
R12_LAM,coal_ppl_cfNH3,2045,213.9595564,USD/kW
R12_MEA,coal_ppl_cfNH3,2045,213.9595564,USD/kW
R12_NAM,coal_ppl_cfNH3,2045,213.9595564,USD/kW
R12_PAO,coal_ppl_cfNH3,2045,213.9595564,USD/kW
R12_WEU,coal_ppl_cfNH3,2045,213.9595564,USD/kW
R12_EEU,coal_ppl_cfNH3,2045,213.9595564,USD/kW
R12_FSU,coal_ppl_cfNH3,2045,213.9595564,USD/kW
R12_AFR,coal_adv_cfNH3,2050,213.9595564,USD/kW
R12_LAM,coal_adv_cfNH3,2050,213.9595564,USD/kW
R12_MEA,coal_adv_cfNH3,2050,213.9595564,USD/kW
R12_NAM,coal_adv_cfNH3,2050,213.9595564,USD/kW
R12_PAO,coal_adv_cfNH3,2050,213.9595564,USD/kW
R12_WEU,coal_adv_cfNH3,2050,213.9595564,USD/kW
R12_EEU,coal_adv_cfNH3,2050,213.9595564,USD/kW
R12_FSU,coal_adv_cfNH3,2050,213.9595564,USD/kW
R12_AFR,coal_ppl_u_cfNH3,2050,213.9595564,USD/kW
R12_LAM,coal_ppl_u_cfNH3,2050,213.9595564,USD/kW
R12_MEA,coal_ppl_u_cfNH3,2050,213.9595564,USD/kW
R12_NAM,coal_ppl_u_cfNH3,2050,213.9595564,USD/kW
R12_PAO,coal_ppl_u_cfNH3,2050,213.9595564,USD/kW
R12_WEU,coal_ppl_u_cfNH3,2050,213.9595564,USD/kW
R12_EEU,coal_ppl_u_cfNH3,2050,213.9595564,USD/kW
R12_FSU,coal_ppl_u_cfNH3,2050,213.9595564,USD/kW
R12_AFR,coal_ppl_cfNH3,2050,213.9595564,USD/kW
R12_LAM,coal_ppl_cfNH3,2050,213.9595564,USD/kW
R12_MEA,coal_ppl_cfNH3,2050,213.9595564,USD/kW
R12_NAM,coal_ppl_cfNH3,2050,213.9595564,USD/kW
R12_PAO,coal_ppl_cfNH3,2050,213.9595564,USD/kW
R12_WEU,coal_ppl_cfNH3,2050,213.9595564,USD/kW
R12_EEU,coal_ppl_cfNH3,2050,213.9595564,USD/kW
R12_FSU,coal_ppl_cfNH3,2050,213.9595564,USD/kW
R12_AFR,coal_adv_cfNH3,2055,213.9595564,USD/kW
R12_LAM,coal_adv_cfNH3,2055,213.9595564,USD/kW
R12_MEA,coal_adv_cfNH3,2055,213.9595564,USD/kW
R12_NAM,coal_adv_cfNH3,2055,213.9595564,USD/kW
R12_PAO,coal_adv_cfNH3,2055,213.9595564,USD/kW
R12_WEU,coal_adv_cfNH3,2055,213.9595564,USD/kW
R12_EEU,coal_adv_cfNH3,2055,213.9595564,USD/kW
R12_FSU,coal_adv_cfNH3,2055,213.9595564,USD/kW
R12_AFR,coal_ppl_u_cfNH3,2055,213.9595564,USD/kW
R12_LAM,coal_ppl_u_cfNH3,2055,213.9595564,USD/kW
R12_MEA,coal_ppl_u_cfNH3,2055,213.9595564,USD/kW
R12_NAM,coal_ppl_u_cfNH3,2055,213.9595564,USD/kW
R12_PAO,coal_ppl_u_cfNH3,2055,213.9595564,USD/kW
R12_WEU,coal_ppl_u_cfNH3,2055,213.9595564,USD/kW
