node_loc,technology,year_vtg,year_act,mode,time,value,unit
R12_AFR,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_RCPA,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_LAM,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_MEA,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_NAM,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_PAO,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_PAS,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_SAS,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_WEU,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_CHN,coal_adv,2005,2020,M2,year,0.0,USD/GWa
R12_AFR,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_RCPA,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_LAM,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_MEA,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_NAM,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_PAO,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_PAS,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_SAS,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_WEU,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_CHN,coal_adv,2010,2020,M2,year,0.0,USD/GWa
R12_AFR,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_RCPA,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_LAM,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_MEA,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_NAM,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_PAO,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_PAS,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_SAS,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_WEU,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_CHN,coal_adv,2010,2025,M2,year,0.0,USD/GWa
R12_AFR,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_RCPA,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_LAM,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_MEA,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_NAM,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_PAO,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_PAS,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_SAS,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_WEU,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_CHN,coal_adv,2015,2020,M2,year,0.0,USD/GWa
R12_AFR,coal_adv,2015,2025,M2,year,0.0,USD/GWa
