node_loc,technology,year_vtg,year_act,time,value,unit
R12_NAM,coal_adv_rccs,1965,1965,year,0.85,%
R12_FSU,coal_adv_rccs,1965,1965,year,0.85,%
R12_NAM,coal_adv_rccs,1970,1970,year,0.85,%
R12_NAM,coal_adv_rccs,1965,1970,year,0.85,%
R12_WEU,coal_adv_rccs,1970,1970,year,0.85,%
R12_FSU,coal_adv_rccs,1970,1970,year,0.85,%
R12_FSU,coal_adv_rccs,1965,1970,year,0.85,%
R12_NAM,coal_adv_rccs,1975,1975,year,0.85,%
R12_NAM,coal_adv_rccs,1970,1975,year,0.85,%
R12_NAM,coal_adv_rccs,1965,1975,year,0.85,%
R12_WEU,coal_adv_rccs,1975,1975,year,0.85,%
R12_WEU,coal_adv_rccs,1970,1975,year,0.85,%
R12_FSU,coal_adv_rccs,1975,1975,year,0.85,%
R12_FSU,coal_adv_rccs,1970,1975,year,0.85,%
R12_FSU,coal_adv_rccs,1965,1975,year,0.85,%
R12_NAM,coal_adv_rccs,1980,1980,year,0.85,%
R12_NAM,coal_adv_rccs,1975,1980,year,0.85,%
R12_NAM,coal_adv_rccs,1970,1980,year,0.85,%
R12_NAM,coal_adv_rccs,1965,1980,year,0.85,%
R12_WEU,coal_adv_rccs,1980,1980,year,0.85,%
R12_WEU,coal_adv_rccs,1975,1980,year,0.85,%
R12_WEU,coal_adv_rccs,1970,1980,year,0.85,%
R12_FSU,coal_adv_rccs,1980,1980,year,0.85,%
R12_FSU,coal_adv_rccs,1975,1980,year,0.85,%
R12_FSU,coal_adv_rccs,1970,1980,year,0.85,%
R12_FSU,coal_adv_rccs,1965,1980,year,0.85,%
R12_NAM,coal_adv_rccs,1985,1985,year,0.85,%
R12_NAM,coal_adv_rccs,1980,1985,year,0.85,%
R12_NAM,coal_adv_rccs,1975,1985,year,0.85,%
R12_NAM,coal_adv_rccs,1970,1985,year,0.85,%
R12_NAM,coal_adv_rccs,1965,1985,year,0.85,%
R12_PAO,coal_adv_rccs,1985,1985,year,0.85,%
