node_loc,technology,year_vtg,value,unit
R12_SAS,coal_adv_rccs,2025,-0.02,%
R12_SAS,coal_adv_rccs,2030,-0.02,%
R12_SAS,coal_adv_rccs,2035,-0.02,%
R12_SAS,coal_adv_rccs,2040,-0.02,%
R12_SAS,coal_adv_rccs,2045,-0.2,%
R12_SAS,coal_adv_rccs,2050,-0.2,%
R12_SAS,coal_adv_rccs,2055,-0.2,%
R12_SAS,coal_adv_rccs,2060,-0.2,%
R12_SAS,coal_adv_rccs,2070,-0.2,%
R12_SAS,coal_adv_rccs,2080,-0.2,%
R12_SAS,coal_adv_rccs,2090,-0.2,%
R12_SAS,coal_adv_rccs,2100,-0.2,%
R12_SAS,coal_adv_rccs,2110,-0.2,%
R12_PAS,coal_adv_rccs,2025,-0.02,%
R12_PAS,coal_adv_rccs,2030,-0.02,%
R12_PAS,coal_adv_rccs,2035,-0.02,%
R12_PAS,coal_adv_rccs,2040,-0.02,%
R12_PAS,coal_adv_rccs,2045,-0.2,%
R12_PAS,coal_adv_rccs,2050,-0.2,%
R12_PAS,coal_adv_rccs,2055,-0.2,%
R12_PAS,coal_adv_rccs,2060,-0.2,%
R12_PAS,coal_adv_rccs,2070,-0.2,%
R12_PAS,coal_adv_rccs,2080,-0.2,%
R12_PAS,coal_adv_rccs,2090,-0.2,%
R12_PAS,coal_adv_rccs,2100,-0.2,%
R12_PAS,coal_adv_rccs,2110,-0.2,%
R12_CHN,coal_adv_rccs,2025,-0.02,%
R12_CHN,coal_adv_rccs,2030,-0.02,%
R12_CHN,coal_adv_rccs,2035,-0.02,%
R12_CHN,coal_adv_rccs,2040,-0.02,%
R12_CHN,coal_adv_rccs,2045,-0.2,%
R12_CHN,coal_adv_rccs,2050,-0.2,%
R12_CHN,coal_adv_rccs,2055,-0.2,%
R12_CHN,coal_adv_rccs,2060,-0.2,%
R12_CHN,coal_adv_rccs,2070,-0.2,%
R12_CHN,coal_adv_rccs,2080,-0.2,%
R12_CHN,coal_adv_rccs,2090,-0.2,%
R12_CHN,coal_adv_rccs,2100,-0.2,%
R12_CHN,coal_adv_rccs,2110,-0.2,%
