node_loc,technology,year_vtg,value,unit
R12_AFR,coal_adv_rccs,2020,1316,USD/kW
R12_LAM,coal_adv_rccs,2020,1316,USD/kW
R12_MEA,coal_adv_rccs,2020,1316,USD/kW
R12_PAO,coal_adv_rccs,2020,1316,USD/kW
R12_EEU,coal_adv_rccs,2020,1316,USD/kW
R12_NAM,coal_adv_rccs,2020,1316,USD/kW
R12_WEU,coal_adv_rccs,2020,1316,USD/kW
R12_FSU,coal_adv_rccs,2020,1316,USD/kW
R12_AFR,coal_adv_rccs,2025,1316,USD/kW
R12_LAM,coal_adv_rccs,2025,1316,USD/kW
R12_MEA,coal_adv_rccs,2025,1316,USD/kW
R12_NAM,coal_adv_rccs,2025,1316,USD/kW
R12_PAO,coal_adv_rccs,2025,1316,USD/kW
R12_WEU,coal_adv_rccs,2025,1316,USD/kW
R12_EEU,coal_adv_rccs,2025,1316,USD/kW
R12_FSU,coal_adv_rccs,2025,1316,USD/kW
R12_AFR,coal_adv_rccs,2030,1316,USD/kW
R12_LAM,coal_adv_rccs,2030,1316,USD/kW
R12_MEA,coal_adv_rccs,2030,1316,USD/kW
R12_NAM,coal_adv_rccs,2030,1316,USD/kW
R12_PAO,coal_adv_rccs,2030,1316,USD/kW
R12_WEU,coal_adv_rccs,2030,1316,USD/kW
R12_EEU,coal_adv_rccs,2030,1316,USD/kW
R12_FSU,coal_adv_rccs,2030,1316,USD/kW
R12_AFR,coal_adv_rccs,2035,1316,USD/kW
R12_LAM,coal_adv_rccs,2035,1316,USD/kW
R12_MEA,coal_adv_rccs,2035,1316,USD/kW
R12_NAM,coal_adv_rccs,2035,1316,USD/kW
R12_PAO,coal_adv_rccs,2035,1316,USD/kW
R12_WEU,coal_adv_rccs,2035,1316,USD/kW
R12_EEU,coal_adv_rccs,2035,1316,USD/kW
R12_FSU,coal_adv_rccs,2035,1316,USD/kW
R12_AFR,coal_adv_rccs,2040,1316,USD/kW
R12_LAM,coal_adv_rccs,2040,1316,USD/kW
R12_MEA,coal_adv_rccs,2040,1316,USD/kW
R12_NAM,coal_adv_rccs,2040,1316,USD/kW
R12_PAO,coal_adv_rccs,2040,1316,USD/kW
R12_WEU,coal_adv_rccs,2040,1316,USD/kW
