node_loc,technology,year_vtg,value,unit,source
R12_PAS,coal_ppl,2025,996.3,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2030,984.8457735,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2035,976.2217803,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2040,968.5870818,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2045,962.663009,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2050,959.0391779,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2055,957.7355457,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2060,959.1976423,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2070,968.7841689,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2080,984.3569846,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2090,1002.088306,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2100,1021.590215,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl,2110,1021.590215,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2025,1195.56,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2030,1149.423919,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2035,1112.979733,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2040,1083.071729,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2045,1059.481858,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2050,1041.946191,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2055,1029.73399,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2060,1022.673264,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2070,1020.422006,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2080,1028.815808,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2090,1042.234466,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2100,1059.158295,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_adv,2110,1059.158295,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2025,1594.08,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2030,1526.552942,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2035,1473.038033,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2040,1429.382158,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2045,1394.825248,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2050,1368.659506,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2055,1349.741127,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2060,1337.613315,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2070,1328.938474,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2080,1334.3081,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2090,1346.681627,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2100,1363.860394,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,igcc,2110,1363.860394,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
R12_PAS,coal_ppl_u,2025,694.2666667,USD/kWa,MESSAGEix-GLOBIOM 2.0-M-R12
