nl,t,ya,m,ACT,sc
R12_AFR,gas_cc,1995,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2000,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2030,M1,16.669685464002065,sv_2c_buffer_decoal
R12_AFR,gas_cc,2035,M1,27.22653871105007,sv_2c_buffer_decoal
R12_AFR,gas_cc,2040,M1,41.23856148130595,sv_2c_buffer_decoal
R12_AFR,gas_cc,2045,M1,48.44314757851929,sv_2c_buffer_decoal
R12_AFR,gas_cc,2050,M1,46.966272578519295,sv_2c_buffer_decoal
R12_AFR,gas_cc,2055,M1,34.95827788032392,sv_2c_buffer_decoal
R12_AFR,gas_cc,2060,M1,1.7621314614457333,sv_2c_buffer_decoal
R12_AFR,gas_cc,2070,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2080,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2090,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2100,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc,2110,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc_ccs,2030,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc_ccs,2035,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc_ccs,2040,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc_ccs,2045,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc_ccs,2050,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc_ccs,2055,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc_ccs,2060,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc_ccs,2070,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc_ccs,2080,M1,0.0,sv_2c_buffer_decoal
R12_AFR,gas_cc_ccs,2090,M1,0.0,sv_2c_buffer_decoal
