nl,t,yv,ya,CAP,sc
R12_AFR,coal_adv,2010,2010,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2010,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2010,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2015,2015,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2015,2030,0.8,sv_2c_buffer_decoal
R12_AFR,coal_adv,2015,2035,0.8,sv_2c_buffer_decoal
R12_AFR,coal_adv,2015,2040,0.8,sv_2c_buffer_decoal
R12_AFR,coal_adv,2020,2020,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2020,2030,4.8,sv_2c_buffer_decoal
R12_AFR,coal_adv,2020,2035,4.8,sv_2c_buffer_decoal
R12_AFR,coal_adv,2020,2040,4.8,sv_2c_buffer_decoal
R12_AFR,coal_adv,2020,2045,4.8,sv_2c_buffer_decoal
R12_AFR,coal_adv,2025,2025,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2025,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2025,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2025,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2025,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2025,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2030,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2030,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2030,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2030,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2030,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2030,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2035,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2035,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2035,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2035,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2035,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2035,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2040,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2040,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2040,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2040,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2040,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2040,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2045,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2045,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2045,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2045,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2045,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2050,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2050,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2050,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2050,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2050,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2055,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2055,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2055,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2055,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2060,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2060,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2060,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2060,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2070,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2070,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2070,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2080,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2080,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2080,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2090,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2090,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2090,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2100,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2100,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv,2110,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2030,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2030,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2030,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2030,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2030,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2030,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2035,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2035,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2035,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2035,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2035,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2035,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2040,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2040,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2040,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2040,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2040,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2040,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2045,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2045,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2045,2055,0.0,sv_2c_buffer_decoal
