nl,t,yv,inv_cost,sc
R12_AFR,coal_ppl,1995,1052.67,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2000,1052.67,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2005,1052.67,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2010,1052.67,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2015,1052.67,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2020,1053.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2025,1053.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2030,1015.5843671921169,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2035,986.3634727897185,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2040,962.9585945206521,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2045,944.5188978042892,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2050,930.3185347916965,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2055,919.7017766777175,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2060,912.2000574476369,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2070,905.0071302634934,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2080,906.1941200925942,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2090,913.6262317621804,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2100,926.2800844848174,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2110,926.2800844848174,sv_2c_buffer_decoal
R12_AFR,coal_adv,2010,1295.59,sv_2c_buffer_decoal
R12_AFR,coal_adv,2015,1295.59,sv_2c_buffer_decoal
R12_AFR,coal_adv,2020,1296.0000000000002,sv_2c_buffer_decoal
R12_AFR,coal_adv,2025,1296.0000000000002,sv_2c_buffer_decoal
R12_AFR,coal_adv,2030,1217.4230730954678,sv_2c_buffer_decoal
R12_AFR,coal_adv,2035,1156.0945267998263,sv_2c_buffer_decoal
R12_AFR,coal_adv,2040,1107.651047135669,sv_2c_buffer_decoal
R12_AFR,coal_adv,2045,1069.6767157021318,sv_2c_buffer_decoal
R12_AFR,coal_adv,2050,1040.2161781787709,sv_2c_buffer_decoal
R12_AFR,coal_adv,2055,1017.6545410811789,sv_2c_buffer_decoal
R12_AFR,coal_adv,2060,1000.7659103382954,sv_2c_buffer_decoal
R12_AFR,coal_adv,2070,980.2351373995026,sv_2c_buffer_decoal
